ID,LATITUDE,LONGITUDE
8722481,26.9700,-80.1267
8722487,26.9517,-80.1017
8722492,26.9467,-80.0900
8722499,26.9350,-80.0850
8722548,26.8433,-80.0667
8722607,26.7333,-80.0417
8722669,26.6133,-80.0467
8722718,26.5267,-80.0533
8722784,26.4033,-80.0700
8722859,26.2600,-80.0850
8722899,26.1883,-80.0933
8722951,26.0917,-80.1233
8722968,26.0600,-80.1300
8722979,26.0400,-80.1150
8723044,25.9417,-80.1250
8723080,25.9033,-80.1200
8723165,25.7783,-80.1850
8723205,25.7267,-80.2367
8723251,25.6517,-80.1600
8723355,25.5233,-80.1750
8723393,25.4767,-80.1800
8723439,25.4150,-80.2100
8723465,25.3733,-80.2900
8723518,25.3100,-80.2983
8723574,25.2350,-80.4350
8723613,25.1833,-80.3900
8723688,25.0817,-80.4450
8723692,25.0800,-80.4500
8723746,25.0050,-80.6183
8723769,24.9733,-80.5500
8723797,24.9383,-80.6100
8723812,24.9133,-80.6600
8723825,24.9000,-80.7050
8723851,24.8683,-80.7033
8723873,24.8383,-80.7983
8723918,24.7767,-80.9233
8723933,24.7550,-80.9583
8723962,24.7183,-81.0167
8723999,24.6267,-81.1117
8724033,24.7050,-81.1567
8724093,24.6817,-81.2283
8724099,24.6800,-81.2350
8724129,24.7800,-81.2717
8724153,24.7433,-81.3000
8724172,24.7667,-81.3233
8724189,24.7400,-81.3417
8724196,24.7183,-81.3517
8724205,24.7333,-81.3617
8724215,24.6517,-81.3750
8724227,24.6900,-81.3833
8724238,24.6233,-81.4033
8724246,24.7883,-81.4117
8724266,24.6517,-81.4350
8724292,24.6617,-81.4683
8724306,24.6417,-81.4850
8724313,24.6600,-81.4917
8724332,24.6617,-81.5150
8724353,24.6550,-81.5400
8724368,24.6933,-81.5550
8724375,24.6067,-81.5667
8724397,24.7100,-81.5933
8724417,24.6150,-81.6167
8724427,24.6667,-81.6300
8724441,24.6167,-81.6450
8724474,24.6233,-81.6850
8724489,24.6017,-81.6550
8724503,24.5767,-81.7217
8724527,24.5700,-81.7500
8724557,24.5450,-81.7833
8724635,24.4533,-81.8783
8724671,24.7183,-81.9215
8724919,25.8133,-81.3633
8724948,25.8583,-81.3867
8724963,25.8950,-81.5583
8724970,25.9033,-81.5133
8724979,25.9333,-81.6550
8724996,25.9850,-81.7017
8725079,26.0833,-81.7850
8725171,26.2117,-81.8133
8725235,26.2900,-81.8183
8725271,26.3433,-81.7800
8725319,26.4000,-81.8433
8725346,26.4300,-81.8567
8725368,26.4600,-81.9400
8725393,26.4917,-82.0817
8725439,26.5483,-82.0800
8725488,26.6050,-82.2183
8725541,26.7067,-82.1633
8725665,26.8267,-82.2850
8725691,26.8717,-82.3133
8725747,26.9333,-82.3533
8725782,26.9783,-81.9750
8725835,27.0433,-81.9867
8725889,27.1117,-82.4633
8725943,27.1783,-82.4950
8726083,27.3317,-82.5450
8726217,27.4667,-82.6867
8726243,27.4967,-82.7133
8726254,27.4983,-82.6683
8726278,27.5267,-82.4817
8726353,27.6017,-82.5533
8726425,27.6783,-82.5033
8726467,27.7183,-82.4533
8726522,27.7600,-82.6267
8726539,27.7833,-82.4067
8726574,27.8083,-82.7950
8726604,27.8550,-82.4800
8726632,27.8817,-82.3967
8726651,27.8983,-82.4267
8726668,27.9183,-82.4450
8726693,27.9467,-82.4617
8726706,27.9550,-82.8067
8726738,27.9883,-82.6850
8726768,28.0283,-82.6333
8726808,28.0583,-82.8100
8726833,28.0850,-82.7717
8726892,28.1467,-82.7583
8726905,28.1600,-82.7683
8726917,28.1650,-82.8433
8726976,28.2017,-82.7800
8726996,28.2467,-82.7350
8727012,28.2683,-82.7267
8727086,28.4133,-82.6767
8727151,28.5333,-82.6500
8727246,28.7150,-82.5767
